50
Uniformity,Accuracy,Efficiency
0.000244,0.580405,0.790256
0.064343,0.369882,0.826358
0.167976,0.294856,0.839330
0.218180,0.257043,0.847311
0.257419,0.235052,0.852904
0.283202,0.221268,0.857165
0.284086,0.211635,0.860530
0.286793,0.204561,0.863304
0.296318,0.198827,0.865623
0.314359,0.193954,0.867593
0.335453,0.189918,0.869306
0.373915,0.186519,0.870821
0.390777,0.183747,0.872192
0.405399,0.181373,0.873436
0.419806,0.179322,0.874565
0.427406,0.177587,0.875596
0.423450,0.175970,0.876526
0.423947,0.174531,0.877371
0.422647,0.173224,0.878136
0.420067,0.172052,0.878826
0.424156,0.171009,0.879450
0.429969,0.170038,0.880015
0.438979,0.169189,0.880533
0.445751,0.168439,0.881007
0.454730,0.167756,0.881439
0.463151,0.167137,0.881840
0.470731,0.166515,0.882212
0.468311,0.165890,0.882555
0.468534,0.165344,0.882880
0.466410,0.164832,0.883189
0.464387,0.164296,0.883484
0.469571,0.163771,0.883771
0.476995,0.163251,0.884047
0.475719,0.162749,0.884314
0.473475,0.162268,0.884571
0.474471,0.161809,0.884818
0.475546,0.161352,0.885057
0.479705,0.160900,0.885287
0.480596,0.160464,0.885511
0.481276,0.160054,0.885728
0.480182,0.159696,0.885938
0.478129,0.159363,0.886141
0.476455,0.159042,0.886337
0.476400,0.158738,0.886526
0.479164,0.158462,0.886709
0.478033,0.158198,0.886885
0.476954,0.157931,0.887054
0.477390,0.157666,0.887217
0.478102,0.157395,0.887374
0.478683,0.157124,0.887523
