50
Uniformity Accuracy Efficiency
0.000000 -0.990597 30.263380
0.000004 -0.281960 63.404404
0.005603 0.323544 131.355392
0.027866 0.473318 159.299332
0.072469 0.620679 173.284714
0.154930 0.670908 188.636566
0.202858 0.699340 164.719315
0.225100 0.727702 205.744675
0.229244 0.735089 179.978333
0.247243 0.743398 190.021820
0.275203 0.954536 184.868439
0.291369 0.762155 140.388977
0.309805 0.765708 193.861954
0.320581 0.766734 186.470749
0.317665 0.772594 186.546036
0.319001 0.773998 192.566757
0.322802 0.779244 188.481674
0.330476 0.963829 197.684387
0.345919 0.788821 213.275726
0.352159 0.785208 199.323105
0.355057 0.789010 220.461716
0.351465 0.792938 184.681824
0.349116 0.792172 148.869492
0.350736 0.793386 191.695953
0.356132 0.967645 204.320587
0.365172 0.796215 222.998535
0.369934 0.797428 198.324631
0.376246 0.806164 165.147278
0.381982 0.968961 197.148941
0.393028 0.796432 225.421219
0.402599 0.802448 203.822220
0.403052 0.801864 225.886047
0.403115 0.802020 207.870346
0.403567 0.805757 226.734543
0.404748 0.803291 208.702469
0.405794 0.807802 161.473175
0.408507 0.804279 202.060562
0.413310 0.804767 227.495178
0.419402 0.808715 227.224228
0.425960 0.811170 224.442276
0.428197 0.807614 183.515961
0.424185 0.971630 214.968811
0.421664 0.807338 200.639801
0.420339 0.808808 164.012421
0.420148 0.818333 203.585587
0.421208 0.809648 194.833038
0.420710 0.809693 186.457703
0.418391 0.972282 203.970642
0.415070 0.817251 204.316589
0.412185 0.809798 204.209396
