50
Uniformity,Accuracy,Efficiency
0.000244,0.580405,0.790256
0.081497,0.338325,0.788487
0.198452,0.245671,0.758113
0.341099,0.189970,0.712722
0.485900,0.147517,0.662232
0.600649,0.113808,0.593712
0.678636,0.101647,0.505599
0.666319,0.135790,0.411699
0.784073,0.121753,0.414043
0.837798,0.124787,0.404739
0.868718,0.122460,0.404731
0.884264,0.121834,0.403941
0.894197,0.120858,0.404193
0.904216,0.120256,0.404292
0.913465,0.119731,0.404480
0.920003,0.119325,0.404637
0.925664,0.119005,0.404754
0.930819,0.118715,0.404891
0.935435,0.118473,0.405005
0.939628,0.118244,0.405135
0.943391,0.118048,0.405243
0.946828,0.117858,0.405363
0.949944,0.117684,0.405478
0.952762,0.117515,0.405598
0.954993,0.117356,0.405719
0.957071,0.117207,0.405834
0.958896,0.117067,0.405944
0.960342,0.116936,0.406048
0.961720,0.116808,0.406154
0.962950,0.116679,0.406271
0.964093,0.116563,0.406372
0.965187,0.116452,0.406470
0.966238,0.116343,0.406570
0.967241,0.116237,0.406669
0.968201,0.116134,0.406768
0.969113,0.116035,0.406865
0.969977,0.115943,0.406954
0.970823,0.115846,0.407053
0.971602,0.115762,0.407135
0.972371,0.115673,0.407224
0.973091,0.115593,0.407304
0.973793,0.115511,0.407386
0.974467,0.115430,0.407469
0.975118,0.115349,0.407554
0.975740,0.115270,0.407638
0.976332,0.115195,0.407718
0.976899,0.115122,0.407795
0.977462,0.115044,0.407882
0.977989,0.114971,0.407962
0.978494,0.114901,0.408038
