50
Uniformity,Accuracy,Efficiency
0.000244,0.580405,0.790256
0.097321,0.329204,0.778546
0.300243,0.208338,0.758374
0.543483,0.130342,0.729799
0.680026,0.093320,0.674551
0.606627,0.111784,0.583466
0.776494,0.094800,0.545193
0.913656,0.076705,0.552306
0.953473,0.075676,0.550912
0.976079,0.074937,0.551552
0.987067,0.074754,0.551857
0.992471,0.074738,0.551858
0.995578,0.074685,0.551954
0.997168,0.074655,0.552021
0.998145,0.074642,0.552052
0.998770,0.074635,0.552066
0.999172,0.074630,0.552074
0.999414,0.074624,0.552085
0.999583,0.074620,0.552095
0.999702,0.074618,0.552102
0.999785,0.074616,0.552109
0.999843,0.074614,0.552114
0.999884,0.074613,0.552119
0.999914,0.074613,0.552122
0.999936,0.074612,0.552125
0.999952,0.074612,0.552128
0.999964,0.074612,0.552130
0.999972,0.074611,0.552132
0.999979,0.074611,0.552133
0.999983,0.074611,0.552134
0.999987,0.074611,0.552135
0.999990,0.074611,0.552136
0.999992,0.074611,0.552137
0.999993,0.074611,0.552137
0.999994,0.074611,0.552138
0.999995,0.074611,0.552138
0.999996,0.074611,0.552138
0.999997,0.074611,0.552139
0.999997,0.074611,0.552139
0.999998,0.074611,0.552139
0.999998,0.074611,0.552140
0.999998,0.074611,0.552140
0.999999,0.074611,0.552140
0.999999,0.074611,0.552140
0.999999,0.074611,0.552140
0.999999,0.074611,0.552140
0.999999,0.074611,0.552140
0.999999,0.074611,0.552140
0.999999,0.074611,0.552140
0.999999,0.074611,0.552140
