50
Uniformity Accuracy Efficiency
-nan -inf nan
-nan 1.000000 nan
-nan -inf nan
-nan 1.000000 nan
-nan -inf 0.000000
-nan 1.000000 nan
-nan -inf nan
-nan -inf 0.000000
-nan -inf 0.000000
-nan 1.000000 0.000000
-nan -inf 0.000000
-nan -inf nan
-nan -inf nan
-nan -inf nan
-nan -inf 0.000000
-nan -inf nan
-nan -inf nan
-nan -inf nan
-nan 1.000000 nan
-nan -inf nan
-nan 1.000000 0.000000
-nan -inf nan
-nan -inf nan
-nan -inf nan
-nan -inf nan
-nan -inf 0.000000
-nan -inf nan
-nan -inf nan
-nan -inf 0.000000
-nan -inf nan
-nan 1.000000 nan
-nan 1.000000 nan
-nan 1.000000 nan
-nan 1.000000 nan
-nan -inf nan
-nan -inf nan
-nan -inf 0.000000
-nan -inf nan
-nan -inf nan
-nan -inf nan
-nan -inf nan
-nan -inf 0.000000
-nan 1.000000 nan
-nan -inf 0.000000
-nan -inf nan
-nan -inf nan
-nan 1.000000 nan
-nan -inf nan
-nan -inf nan
-nan -inf nan
