50
Uniformity Accuracy Efficiency
0.226735 0.261700 2278113.750000
0.226735 0.261700 2278113.750000
0.226735 0.068487 2278107.750000
0.226735 0.261700 2278102.500000
0.226735 0.261700 2278095.750000
0.226735 0.068487 2278089.750000
0.226735 0.261700 2278083.750000
0.226735 0.068487 2278077.500000
0.226735 0.261700 2278069.750000
0.226735 0.261700 2278065.000000
0.226735 0.068487 2278059.500000
0.226735 0.068487 2278053.250000
0.226735 0.068487 2278046.750000
0.226735 0.261700 2278040.250000
0.226735 0.261700 2278035.250000
0.226735 0.261700 2278029.750000
0.226735 0.261700 2278022.750000
0.226735 0.261700 2278017.000000
0.226734 0.261700 2278011.500000
0.226735 0.068487 2278005.750000
0.226734 0.068487 2277999.000000
0.226735 0.261700 2277991.250000
0.226735 0.068487 2277984.750000
0.226735 0.261700 2277979.500000
0.226735 0.261700 2277971.750000
0.226735 0.261700 2277965.750000
0.226735 0.261700 2277959.500000
0.226735 0.261700 2277953.750000
0.226735 0.261700 2277946.500000
0.226735 0.261700 2277939.750000
0.226735 0.261700 2277934.250000
0.226735 0.068487 2277928.500000
0.226735 0.261700 2277921.500000
0.226735 0.261700 2277915.500000
0.226734 0.261700 2277909.500000
0.226734 0.261700 2277902.250000
0.226734 0.261700 2277896.500000
0.226734 0.068487 2277890.500000
0.226734 0.261700 2277884.250000
0.226735 0.261700 2277878.750000
0.226735 0.068487 2277872.250000
0.226735 0.261700 2277866.750000
0.226735 0.068487 2277859.250000
0.226735 0.261700 2277852.250000
0.226735 0.261700 2277845.750000
0.226735 0.261700 2277839.000000
0.226735 0.068487 2277831.750000
0.226735 0.261700 2277825.500000
0.226735 0.068487 2277819.000000
0.226735 0.068487 2277813.750000
