50
Uniformity,Accuracy,Efficiency
0.000244,0.580405,0.790256
0.046280,0.420789,0.678870
0.063994,0.351361,0.730284
0.073180,0.350946,0.638718
0.060279,0.309381,0.666974
0.057738,0.331466,0.586573
0.051168,0.300797,0.601341
0.034395,0.339904,0.515676
0.037176,0.309920,0.536468
0.015351,0.367549,0.436878
0.021963,0.331222,0.468938
0.018958,0.388102,0.385044
0.014441,0.353576,0.410026
0.013599,0.416840,0.331884
0.011230,0.388943,0.345598
0.004860,0.463360,0.271721
0.007646,0.420369,0.299437
0.007343,0.495331,0.237404
0.005807,0.437350,0.274026
0.003339,0.518842,0.214873
0.003946,0.442918,0.262154
0.006191,0.529214,0.204084
0.011311,0.435178,0.262947
0.006524,0.530407,0.199697
0.016470,0.430192,0.261770
0.006531,0.528544,0.197742
0.023154,0.426358,0.260242
0.008719,0.523848,0.197485
0.026783,0.422434,0.258779
0.014402,0.518546,0.197869
0.033081,0.417391,0.258230
0.026403,0.510719,0.199583
0.043255,0.410018,0.258705
0.036892,0.500149,0.202085
0.056098,0.402580,0.258734
0.055548,0.486075,0.206194
0.074781,0.392172,0.259739
0.079320,0.467302,0.212017
0.102241,0.379234,0.260940
0.117674,0.442068,0.220028
0.152666,0.359654,0.264476
0.194237,0.402932,0.233444
0.263938,0.324254,0.273985
0.367070,0.332045,0.260588
0.521440,0.251384,0.302623
0.703745,0.201057,0.329015
0.766598,0.141414,0.383753
0.775315,0.120469,0.410123
0.795510,0.110357,0.422999
0.801086,0.102473,0.434217
