50
Uniformity,Accuracy,Efficiency
0.000244,0.580405,0.790256
0.144833,0.256138,0.741776
0.517318,0.127318,0.671448
0.692868,0.096081,0.613242
0.798103,0.075654,0.593137
0.861352,0.054627,0.615966
0.869556,0.050710,0.631334
0.885544,0.047521,0.636406
0.894192,0.045315,0.641762
0.902489,0.043056,0.645332
0.910350,0.041043,0.648269
0.917175,0.039316,0.650955
0.923345,0.037790,0.653349
0.928925,0.036434,0.655505
0.933912,0.035235,0.657485
0.938667,0.034130,0.659213
0.942472,0.033194,0.660930
0.946058,0.032335,0.662442
0.949416,0.031554,0.663811
0.952627,0.030829,0.665028
0.955342,0.030216,0.666269
0.958235,0.029602,0.667259
0.960699,0.029075,0.668275
0.962914,0.028603,0.669238
0.965246,0.028141,0.670030
0.966933,0.027768,0.670941
0.968893,0.027397,0.671663
0.970548,0.027069,0.672396
0.972201,0.026760,0.673050
0.973741,0.026475,0.673665
0.975233,0.026209,0.674227
0.976668,0.025960,0.674742
0.977923,0.025737,0.675257
0.979118,0.025532,0.675736
0.980166,0.025349,0.676212
0.981197,0.025178,0.676647
0.982226,0.025016,0.677036
0.983219,0.024863,0.677396
0.984142,0.024722,0.677739
0.985021,0.024589,0.678059
0.985818,0.024468,0.678372
0.986576,0.024356,0.678664
0.987290,0.024252,0.678940
0.987965,0.024155,0.679201
0.988601,0.024065,0.679447
0.989203,0.023981,0.679679
0.989770,0.023903,0.679898
0.990306,0.023831,0.680106
0.990813,0.023763,0.680302
0.991292,0.023699,0.680487
