50
Uniformity,Accuracy,Efficiency
0.000244,0.580405,0.790256
0.064343,0.369882,0.826358
0.191354,0.213195,0.817905
0.450284,0.141098,0.824310
0.474628,0.120115,0.829778
0.610818,0.103887,0.835410
0.639997,0.089189,0.840529
0.685056,0.073657,0.844929
0.734131,0.059498,0.848682
0.787602,0.046560,0.851820
0.817521,0.036856,0.854431
0.845025,0.029507,0.856560
0.860958,0.024843,0.858305
0.881195,0.022169,0.859774
0.890430,0.020365,0.861026
0.898148,0.019197,0.862121
0.912578,0.017839,0.863075
0.925626,0.017061,0.863925
0.936268,0.016079,0.864695
0.941653,0.015227,0.865391
0.940588,0.014572,0.866039
0.939415,0.014054,0.866631
0.942797,0.013644,0.867177
0.944877,0.013117,0.867705
0.944857,0.012688,0.868203
0.944927,0.012503,0.868680
0.949378,0.011967,0.869129
0.955456,0.011508,0.869554
0.955955,0.011449,0.869959
0.953345,0.011253,0.870356
0.956057,0.011187,0.870741
0.956882,0.010998,0.871118
0.952094,0.010940,0.871494
0.954917,0.010825,0.871867
0.954695,0.010456,0.872227
0.950324,0.010274,0.872573
0.957182,0.010153,0.872900
0.955414,0.009856,0.873217
0.957758,0.009512,0.873516
0.959407,0.009483,0.873804
0.961482,0.009160,0.874075
0.966466,0.008855,0.874336
0.969070,0.008537,0.874584
0.968517,0.008562,0.874824
0.965772,0.008362,0.875055
0.964962,0.008298,0.875279
0.964794,0.008113,0.875497
0.969602,0.007958,0.875709
0.970484,0.007790,0.875912
0.970217,0.007717,0.876108
