50
Uniformity,Accuracy,Efficiency
0.000000,1.000000,0.000001
0.000000,1.376903,0.725919
0.000000,1.352733,0.791763
0.000000,1.350925,0.799096
0.000000,1.385264,0.815928
0.000018,1.268990,0.809442
0.000271,0.704565,0.816954
0.009639,0.288007,0.825197
0.060594,0.166815,0.834196
0.207091,0.103177,0.841607
0.411642,0.069205,0.847317
0.444790,0.050750,0.851694
0.577104,0.039911,0.854964
0.722133,0.033341,0.857493
0.823747,0.028372,0.859533
0.857404,0.024852,0.861217
0.878183,0.022305,0.862598
0.897575,0.020782,0.863805
0.915666,0.019380,0.864880
0.923944,0.018059,0.865839
0.928027,0.017014,0.866681
0.932857,0.015952,0.867446
0.936167,0.014967,0.868149
0.942053,0.014270,0.868795
0.941752,0.013640,0.869384
0.947975,0.013100,0.869923
0.951131,0.012513,0.870429
0.952885,0.012022,0.870904
0.955020,0.011524,0.871349
0.954586,0.011179,0.871764
0.955844,0.010881,0.872156
0.957885,0.010503,0.872534
0.961071,0.010297,0.872898
0.959567,0.009999,0.873240
0.962927,0.009763,0.873565
0.963118,0.009518,0.873870
0.962958,0.009300,0.874165
0.961609,0.009057,0.874444
0.961028,0.008968,0.874707
0.965967,0.008798,0.874955
0.966235,0.008491,0.875195
0.962590,0.008450,0.875427
0.964792,0.008181,0.875651
0.967788,0.007801,0.875863
0.968741,0.007523,0.876064
0.971246,0.007305,0.876253
0.971639,0.007181,0.876435
0.970959,0.007245,0.876612
0.972731,0.007046,0.876783
0.972817,0.007415,0.876951
